source,target,tipo_interacao,peso
sayanta01,LeAlencar,comentario,2
dhh,LeAlencar,comentario,2
dhh,LeAlencar,comentario,2
dhh,Antse,comentario,2
dhh,Antse,comentario,2
dhh,Antse,comentario,2
sayanta01,LeAlencar,comentario,2
danmack,LeAlencar,comentario,2
dhh,LeAlencar,comentario,2
BigMitchGit,LeAlencar,comentario,2
dhh,davidgasquez,comentario,2
Kn0ax,LeAlencar,comentario,2
icehunt,LeAlencar,comentario,2
icehunt,LeAlencar,comentario,2
Kn0ax,LeAlencar,comentario,2
icehunt,LeAlencar,comentario,2
Kn0ax,LeAlencar,comentario,2
dhh,davidgasquez,comentario,2
icehunt,LeAlencar,comentario,2
icehunt,LeAlencar,comentario,2
icehunt,LeAlencar,comentario,2
icehunt,LeAlencar,comentario,2
icehunt,Kn0ax,comentario,2
dhh,al3rez,comentario,2
dhh,d4n3sh,comentario,2
gianmeg,LeAlencar,comentario,2
Kn0ax,LeAlencar,comentario,2
dhh,davidgasquez,comentario,2
gianmeg,LeAlencar,comentario,2
Mohamedsayhii,LeAlencar,comentario,2
dhh,Mohamedsayhii,comentario,2
dhh,ylluminate,comentario,2
Kn0ax,LeAlencar,comentario,2
Mohamedsayhii,LeAlencar,comentario,2
jonashan,LeAlencar,comentario,2
icehunt,Kn0ax,comentario,2
dhh,LeAlencar,comentario,2
Kn0ax,LeAlencar,comentario,2
creaumond,brentdodell,comentario,2
dhh,LeAlencar,comentario,2
dhh,0xProt,comentario,2
dhh,brentdodell,comentario,2
kk1694,LeAlencar,comentario,2
jonashan,LeAlencar,comentario,2
icehunt,Kn0ax,comentario,2
kennethgeerts,dhh,comentario,2
jopesh,Kn0ax,comentario,2
gianmeg,LeAlencar,comentario,2
mmaadd,itsnumpty,comentario,2
ofrades,itsnumpty,comentario,2
dhh,Kn0ax,comentario,2
ehutzelman,Kn0ax,comentario,2
jakubhrstka,Kn0ax,comentario,2
kmckelvin,Kn0ax,comentario,2
Kn0ax,itsnumpty,comentario,2
dhh,LeAlencar,comentario,2
dhh,mheisig,comentario,2
dhh,mheisig,comentario,2
dhh,justbispo,comentario,2
dhh,martinstork,comentario,2
ehutzelman,Kn0ax,comentario,2
Ajeetmisra,taylorminton,comentario,2
ehutzelman,BigMitchGit,comentario,2
dhh,al3rez,comentario,2
ehutzelman,BigMitchGit,comentario,2
dhh,oca159,comentario,2
dhh,sjsrey,comentario,2
dhh,prertik,comentario,2
dhh,diegopluna,comentario,2
dhh,Mohamedsayhii,comentario,2
dhh,calvinludwig,comentario,2
Kn0ax,itsnumpty,comentario,2
dhh,diegopluna,comentario,2
vaxerski,diegopluna,comentario,2
diegopluna,dhh,comentario,2
dhh,oca159,comentario,2
crnvl96,dhh,comentario,2
