source,target,tipo_interacao,peso
dhh,marionuevo,fechamento_issue,3
dhh,coryellcp,fechamento_issue,3
dhh,felixzsh,fechamento_issue,3
dhh,jondkinney,fechamento_issue,3
dhh,jbnunn,fechamento_issue,3
dhh,felixzsh,fechamento_issue,3
dhh,felixzsh,fechamento_issue,3
dhh,revan1611,fechamento_issue,3
dhh,bjarneo,fechamento_issue,3
dhh,LukasTrust,fechamento_issue,3
dhh,patroza,fechamento_issue,3
dhh,MangelMaxime,fechamento_issue,3
dhh,brink-lab,fechamento_issue,3
dhh,PierruMagnus,fechamento_issue,3
dhh,landsman,fechamento_issue,3
dhh,RushiChaganti,fechamento_issue,3
dhh,KR9SIS,fechamento_issue,3
dhh,EmrysMyrddin,fechamento_issue,3
dhh,bjarneo,fechamento_issue,3
dhh,defer,fechamento_issue,3
dhh,Randomovski,fechamento_issue,3
dhh,DarrenVictoriano,fechamento_issue,3
dhh,nixsh5,fechamento_issue,3
ryanrhughes,abenz1267,fechamento_issue,3
dhh,Jeevan00-1,fechamento_issue,3
dhh,daviewales,fechamento_issue,3
dhh,jelenv,fechamento_issue,3
dhh,rblalock,fechamento_issue,3
dhh,tahayvr,fechamento_issue,3
dhh,realjuangalt,fechamento_issue,3
dhh,daviewales,fechamento_issue,3
dhh,daviewales,fechamento_issue,3
dhh,rogeriopvl,fechamento_issue,3
dhh,abenz1267,fechamento_issue,3
dhh,DarrenVictoriano,fechamento_issue,3
dhh,abenz1267,fechamento_issue,3
dhh,abenz1267,fechamento_issue,3
dhh,larrydewey,fechamento_issue,3
dhh,AugustoRickes,fechamento_issue,3
dhh,dec05eba,fechamento_issue,3
dhh,William-Jay-Inclino,fechamento_issue,3
dhh,Grepsy,fechamento_issue,3
dhh,himangshusingh,fechamento_issue,3
dhh,patroza,fechamento_issue,3
dhh,hamkoroke,fechamento_issue,3
dhh,andnig,fechamento_issue,3
dhh,whitallee,fechamento_issue,3
dhh,wqsaali,fechamento_issue,3
dhh,abrahamarslan,fechamento_issue,3
dhh,inad9300,fechamento_issue,3
dhh,Rovel,fechamento_issue,3
dhh,tonysm,fechamento_issue,3
dhh,gregg-cbs,fechamento_issue,3
dhh,landsman,fechamento_issue,3
