colaborador,degree,betweenness,closeness,pagerank,eigenvector
dhh,0.3450891164201744,0.6264022532395903,0.24263690192698453,0.09195232622699827,0.6348093564087889
ryanrhughes,0.15699658703071673,0.26002253663451047,0.1978038985556546,0.04091490672639961,0.2606773085147782
abenz1267,0.04550625711035267,0.038018674449876395,0.17506306573675617,0.010241735016582815,0.11477993255158435
dharmavagabond,0.0273037542662116,0.02196582122708139,0.16641310898489367,0.006162474327551561,0.059317836702867506
Luquatic,0.018960940462646948,0.029387582188271064,0.1861390664879186,0.0050365408950026926,0.04056649393295188
kromsam,0.020857034508911642,0.023203120320414477,0.17727405062117582,0.004991536154152134,0.0413733288913828
naxels,0.019719378081152823,0.019016236081625046,0.18501510452532582,0.004540924295701558,0.043093498767717495
RodriMora,0.013272658323852863,0.018388579157381856,0.1834480957545214,0.003654864155089384,0.031539666405674974
sailoz,0.017064846416382253,0.010069839425631897,0.17630377653876392,0.003653740083116818,0.05880813304860973
ddevault,0.010997345468335229,0.015757207544510165,0.1754787763272751,0.003466683640764079,0.032172958589629666
nik-securemeasure,0.01441031475161168,0.013321643377993117,0.1819864638167409,0.003444757430769034,0.034900239811634585
morgoth,0.015547971179370497,0.011392453463069432,0.17467360396648532,0.003416023037528926,0.035487998939363656
jondkinney,0.012514220705346985,0.01576165702995961,0.17341973491537305,0.00341564990621665,0.029041217160241956
sgruendel,0.013272658323852863,0.007363487250815486,0.1600219807307767,0.0033372627029358308,0.061968509714467726
inffy,0.014789533560864617,0.008981277545576831,0.1723254540091855,0.003213397391879139,0.03713401032738288
jardahrazdera,0.0136518771331058,0.002991556308863296,0.1480208035497776,0.0031237322337618195,0.05871886855557884
woopstar,0.013272658323852863,0.005359573716863141,0.18316724644265692,0.0030662118791216185,0.05335927943294338
killeik,0.010997345468335229,0.012060369809039462,0.16986715701804644,0.0030292435726619734,0.04002888394107993
nkasco,0.01061812665908229,0.012396167464482528,0.17662601894227944,0.0029400436851178616,0.03719752594295339
Tatuck,0.008342813803564657,0.012273289582942491,0.16826313417184066,0.0028067107039017212,0.018850583055999865
mir4zul,0.01061812665908229,0.010568710969005683,0.17698683568990736,0.0026488659477087294,0.036296790699306566
goomba27,0.007963594994311717,0.010459094858635477,0.13444483729954648,0.002623278234575946,0.0033913670452395362
vlofgren,0.011376564277588168,0.0064595017068911735,0.18302047781569966,0.0024770550785877905,0.03880133497912195
vaqMAD,0.010997345468335229,0.012922991494145138,0.17825506345895176,0.002467596517510188,0.038540565459123766
mmsbrggr,0.008722032612817595,0.011848863426741754,0.1830338106981806,0.0024457201759790917,0.02754134923486614
defaultdino,0.007963594994311717,0.01069463409530085,0.1814345118034319,0.0023590320024308746,0.02760024258679862
ElBrodino,0.009101251422070534,0.010628459183569692,0.18275422748428316,0.0023170100620017774,0.03132774947188116
ColtonIdle,0.01061812665908229,0.00797251515630782,0.1803794327987598,0.0022558106525485677,0.04614006019158387
fisika1729,0.009859689040576412,0.012752375361633452,0.18456659953382243,0.002249905780343603,0.03405107665078404
landsman,0.009859689040576412,0.010421836610091512,0.18479737565857052,0.0022170577556290833,0.03865500342098932
guilhermetk,0.009859689040576412,0.0032518662757039514,0.14616085628004216,0.002195994993342206,0.047843500736355384
