colaborador,degree,betweenness,closeness,pagerank,eigenvector
dhh,0.3450891164201744,0.421099389490903,0.1478205047628361,0.14492154754075282,0.6851404715640843
ryanrhughes,0.15699658703071673,0.25224965019331713,0.13740047683768594,0.045639594229204494,0.1263433567214516
abenz1267,0.04550625711035267,0.06786585447489295,0.125662954859154,0.01390477702856249,0.22881319702889005
Luquatic,0.018960940462646948,0.025082135329311563,0.10824631077738679,0.0050576074932836106,0.030707440072073756
jardahrazdera,0.0136518771331058,0.01408948399088882,0.11364687531454337,0.004945240259036296,0.20430080120828045
kromsam,0.020857034508911642,0.05953116815907297,0.1299661245320673,0.00493239972360499,0.01751872300084864
dharmavagabond,0.0273037542662116,0.07421226802532514,0.12861556792699896,0.0044957565017990945,0.011205887230190661
woopstar,0.013272658323852863,0.006734606162570677,0.10389980644503867,0.00381650337838931,0.04272720717790179
naxels,0.019719378081152823,0.04764371105457096,0.12941717932697666,0.00361565884169536,0.007713316864353474
c4software,0.009101251422070534,0.009198293937173698,0.1115825873541735,0.0034583499011868477,0.18052773105064934
jondkinney,0.012514220705346985,0.0190419644327187,0.10769879203797526,0.0034077173350243557,0.034443904272270946
RodriMora,0.013272658323852863,0.020941761379888332,0.11247672662968596,0.0033273160732767747,0.042559706412351676
ColtonIdle,0.01061812665908229,0.023259567858800484,0.12304138684886999,0.0032272717648164856,0.12583849833773414
nik-securemeasure,0.01441031475161168,0.01993073753494469,0.12056745138701112,0.0032270395384177003,0.029060558685821122
sgruendel,0.013272658323852863,0.03527930266530298,0.12377482237814301,0.003200100049670988,0.08282731734395682
hjanuschka,0.007963594994311717,0.003990870387546932,0.10943919851267206,0.0030102909826115925,0.06826936805466895
killeik,0.010997345468335229,0.01070453010568333,0.10856436587538024,0.002897296114821848,0.020579975445234218
ddevault,0.010997345468335229,0.019791788860832413,0.1223821295398892,0.00288468199713163,0.006880906026993532
nkasco,0.01061812665908229,0.015277869458974472,0.11529483844777555,0.0028838656108681106,0.06432318069975396
sailoz,0.017064846416382253,0.032325836281746685,0.1195690819708716,0.002762878788303008,0.02221795084378738
RushiChaganti,0.00341296928327645,0.0008070041360734149,0.08647410495453192,0.0026290958111047334,0.08168329390516747
mmsbrggr,0.008722032612817595,0.008532941282814434,0.09701166529417835,0.002562105413788154,0.012191408360087893
nilszeilon,0.005688282138794084,0.006155916874950969,0.0902059067049842,0.0025497918124123163,0.11874636891582668
Kn0ax,0.004171406901782328,0.0022290853729531627,0.07404093591836874,0.0025378750028768474,0.09778838459211511
inffy,0.014789533560864617,0.030231969306939478,0.12582027740267038,0.0025130507336036554,0.009470330585520163
hyprhex,0.009480470231323474,0.01779456396672379,0.11903658120310442,0.002506596302556875,0.09957497828456424
