source,target,peso
007qr,mir4zul,2
0xFLE1J4,prgmatic,2
0xProt,pelephant2,4
0xharkirat,Roman-Weisman,2
0xrsydn,nmonev,2
11bDev,JonathanRiche,2
1cadumagalhaes,vlofgren,2
1cadumagalhaes,socket72,2
1cadumagalhaes,Nueny,2
24601,nik-securemeasure,4
24601,kjamal-hub,6
24601,muinmomin,2
2disbetter,Rnedlose,2
2disbetter,prathamngundikere,2
34fishyy,mir4zul,2
381181295,kromsam,2
3bit,sspaeti,2
3x3cut0r,nabeeladzan,2
522122,merouaneamqor,2
71be7,TobbEEEEH,2
880660,philippeback,2
A-Kushwah,al3rez,2
A0D1I2L3,itsmedardan,4
A0D1I2L3,Roilan,2
ADGLx,ablzh,2
AR45H,ddevault,2
ASBecker,goomba27,2
AbdSattout,paul-fornage,2
Abdirrahman,sgruendel,8
AbdulRhmanAlfaifi,capyfara,4
Abdulrahman-AL-Sabagh,ainslec,2
Absolpega,matthriscu,2
Acorn9443,nemoralis,2
AdamMusa,NicolasDorier,2
AdamUhh,emourad,2
AdiY00,lentra0,2
AdityaGarg8,NoaHimesaka1873,2
AdityaGarg8,trevorputbrese,16
Admix-software,al3rez,2
AidenDevsNagios,Kurizek27,2
Ajeetmisra,taylorminton,2
AlJohri,hyprhex,2
AlejandroSC,Roilan,2
AlexBevan,mtalha-codes,2
AlexanderGolys,ryanrhughes,2
AliQ80,wleme,2
AmanDeol7,mir4zul,2
Amoodaa,ryanrhughes,4
AnandRaj2224,ashd90,2
AndreRobitaille,curtisspendlove,2
AndrewMast,jharlan-hash,4
AndrewMast,RushiChaganti,6
AndrewMast,russell-davis,6
AndrewMast,rwwiv,2
AndrewMast,liaobinbin,2
AndrewMast,sgruendel,2
AndrianoTurner,ElBrodino,2
AnujCtrl,CaffeinatedTech,2
ArcaneCrowA,antonavy,2
ArcaneCrowA,skoom21,4
ArjixWasTaken,RolfKoenders,4
Artem1k,SoAp9035,2
Artem1k,CAI991108,2
ArthurWillers,wleme,2
ArthurWillers,cluah,2
Ashur-D,Awais-Sajid-119,2
Ashur-D,Veltair-D,2
Ashur-D,0xK1K3,8
AstroGlade,alcides,2
AurelienBoland,Shankar-1212,2
BBISWilliams,Matt-Ord,2
BBennettChiba,eshedruf,2
BLACK-ASH,TayoJuang,2
Baluditor,TobbEEEEH,2
BarnardCollier,jardahrazdera,2
BartoGabriel,ankurkotwal,4
BaselCS,prgmatic,2
BasitAli,Tatuck,4
Because789,dhh,26
Because789,Dynasty8614,2
Because789,defaultdino,6
Because789,sebastianobecchetti,2
BeelinkOfficial,ocewers,2
Beethoven-n,martinmose,4
BernhardRode,Luquatic,16
BernhardRode,Mateleo,2
BernhardRode,CGCM070,4
BigMitchGit,LeAlencar,2
Blanquefort-bq,fabiokr,2
Bornasm,ameeno,2
BrentRosen,jondkinney,2
Brian-Zavala,nmonev,2
BridgeSenseDev,tanshkoul,2
BridgeSenseDev,zxrovx,2
BridgeSenseDev,RaphaelKimmig,2
BrielOtero,jondkinney,6
Britnell,MentalGear,2
