colaborador,in_degree,out_degree,in_degree_weighted,out_degree_weighted,betweenness,closeness,pagerank
dhh,107,871,233,3369,0.12029835455194597,0.08285992589831306,0.007176152389480221
ryanrhughes,85,353,319,737,0.05995555401216637,0.07572466046577217,0.005214568603573437
kromsam,48,13,122,22,0.028798853980483846,0.0732322870596754,0.0030338949492647854
mmsbrggr,21,2,39,3,0.005066068706735432,0.06109888748970707,0.0021731839737494764
nik-securemeasure,34,5,64,6,0.013391472947975745,0.07222713802160143,0.002164224993015205
defaultdino,21,0,28,0,0.0,0.06794098766416794,0.002043298827259567
Luquatic,47,3,84,7,0.008246376135548714,0.0662647538515192,0.001991155285324616
ghost,7,15,36,28,0.009028982470055845,0.061828154330315285,0.0019167810371502943
ColtonIdle,20,9,62,17,0.012822534572824201,0.07365531293471463,0.0015908971813288768
itsnumpty,22,0,53,0,0.0,0.06689406481512918,0.001526778955225692
mir4zul,27,1,31,2,8.9913412664297e-06,0.07354546603693361,0.001455470983177179
nkasco,25,3,54,3,0.00580389430014337,0.06614576287293505,0.0014351115070632278
jardahrazdera,13,24,72,50,0.0070934429452578366,0.060640673773395014,0.0014127479042253738
ddevault,29,0,34,0,0.0,0.07855911483626815,0.0012996860980453591
Tatuck,22,0,32,0,0.0,0.07138432084807257,0.0012382666549854984
shawnyeager,19,6,41,10,0.010800438692134985,0.07182031272078651,0.001220321700237942
RodriMora,34,2,60,2,0.006627185115334166,0.06181662567949851,0.001173157819237187
sailoz,11,35,54,46,0.0026124593986202337,0.05329087984554742,0.0011560663246591055
oxidebits,8,2,13,2,5.69178733469097e-05,0.06129811070392508,0.0011361204835542685
naxels,20,35,29,48,0.008488379976587487,0.05927455095997685,0.0011208744253429425
jondkinney,28,5,57,11,0.005609803726954998,0.06961834597210217,0.001107653379235552
nilszeilon,15,0,50,0,0.0,0.0541929712166916,0.0010949114787081975
goomba27,21,0,24,0,0.0,0.06194490109980232,0.0010458518371386418
Dynasty8614,12,0,17,0,0.0,0.06225811408941536,0.00103425085600772
g-hartmann-kanguro,4,1,4,1,8.173146337548914e-05,0.06792575306221302,0.0009951381452648496
sgruendel,12,23,37,31,0.0057347866077523185,0.06476314974001769,0.0009370659740228983
eclecticc,5,4,15,4,0.0021084822503893517,0.04623745655776158,0.0009186197240061563
brasilikum,2,1,3,1,5.358611043267871e-06,0.06203994442804978,0.0009151508426214865
