colaborador,degree,degree_weighted,degree_centrality,betweenness,closeness,eigenvector,pagerank,clustering_local,grupo_comunidade
dhh,910,2737,0.3450891164201744,0.4810594908997511,0.324948929055086,0.0,0.12829164340594232,0.00020944916275822411,1
ryanrhughes,414,814,0.15699658703071673,0.3084844712087529,0.30035924918755824,0.0,0.04234470846695776,0.0003877011578853825,2
abenz1267,120,329,0.04550625711035267,0.05225762063424637,0.2615830421086856,0.0,0.013894095369883773,0.002139232686633592,4
kromsam,55,108,0.020857034508911642,0.04502469506165086,0.27417122647904024,0.0,0.005386712443218093,0.0013058567254430509,4
Luquatic,50,91,0.018960940462646948,0.022928293141729315,0.23109870487986797,0.0,0.0053545786534347955,0.0015423591899130827,3
jardahrazdera,36,120,0.0136518771331058,0.011270880828609933,0.23700642575737427,0.0,0.005029221031831917,0.008858471233930782,3
dharmavagabond,72,91,0.0273037542662116,0.048002743689869204,0.258727743739463,0.0,0.0049460668229017995,0.0008469985593744421,2
naxels,52,71,0.019719378081152823,0.044485423518533684,0.28965934049503395,0.0,0.003923280849401405,0.0010802792805605626,5
woopstar,35,92,0.013272658323852863,0.003999222160139069,0.22797433258814306,0.0,0.003807228707368963,0.006776831685879809,2
jondkinney,33,68,0.012514220705346985,0.017490628787179927,0.2352532883383825,0.0,0.003636238885851349,0.0026415364782935227,19
nik-securemeasure,38,69,0.01441031475161168,0.01639462597402115,0.255881975705665,0.0,0.003542895455194878,0.002481002867367694,15
ColtonIdle,28,78,0.01061812665908229,0.021718356625986854,0.2681435559716035,0.0,0.003391349438098013,0.010977426860137644,3
RodriMora,35,52,0.013272658323852863,0.02320826735103083,0.25942231486359574,0.0,0.0032655162544692725,0.0012538122029147891,20
hjanuschka,21,69,0.007963594994311717,0.0028366275288015277,0.22631103580020942,0.0,0.0032261402617076145,0.010965901619021641,2
sgruendel,35,68,0.013272658323852863,0.026816437668788943,0.26210151465198467,0.0,0.003164524255714074,0.0052741671086165036,2
nkasco,28,57,0.01061812665908229,0.017305726716244772,0.2565875326239711,0.0,0.003022899321839306,0.004170641318805593,8
sailoz,45,65,0.017064846416382253,0.023873548364772047,0.2521835912329544,0.0,0.003008673101359133,0.0032241684811056028,3
ddevault,29,34,0.010997345468335229,0.02336170848417825,0.27698215405731724,0.0,0.0029887818767638146,0.0007989874795065297,7
killeik,29,56,0.010997345468335229,0.011874971128599456,0.2489107508870542,0.0,0.0029295558788696814,0.002456148810661428,11
inffy,39,56,0.014789533560864617,0.021478368081860977,0.26734466050797245,0.0,0.0028003323375918278,0.0019224211446554863,3
mmsbrggr,23,42,0.008722032612817595,0.008684767335092736,0.21086908262307386,0.0,0.0026904011426016243,0.002359714197703163,6
hyprhex,25,55,0.009480470231323474,0.014048457247544721,0.2474886839493622,0.0,0.0026335475922074636,0.00728100192393974,13
vlofgren,30,57,0.011376564277588168,0.011170562810666933,0.23990309552696695,0.0,0.0025839810956037193,0.006207288318738546,2
morgoth,41,47,0.015547971179370497,0.02992277374443817,0.25160275580351743,0.0,0.002574514189766814,0.001783917173757185,2
itsnumpty,22,53,0.008342813803564657,0.009794957513556852,0.2341788721645936,0.0,0.0025372322162332435,0.004042042375576492,8
Tatuck,22,32,0.008342813803564657,0.013240328561370366,0.24545770998963706,0.0,0.0025072803496381186,0.0007127962929875499,6
fisika1729,26,49,0.009859689040576412,0.010661378505026515,0.24077672443257545,0.0,0.0025037162040555247,0.00458200791824557,4
Kn0ax,11,58,0.004171406901782328,0.00222320623461042,0.164183827971896,0.0,0.002503090379956597,0.02558891075282468,8
nilszeilon,15,50,0.005688282138794084,0.006293786903406613,0.19916806337327983,0.0,0.0025009032123315487,0.005725848626309407,19
goomba27,21,24,0.007963594994311717,0.010683474637353061,0.20606127445697733,0.0,0.0023338392550862957,0.0,22
shawnyeager,24,50,0.009101251422070534,0.009432185337427713,0.24471657927865245,0.0,0.002256577670845507,0.009076482762224692,3
c4software,24,47,0.009101251422070534,0.007502774477334721,0.23253170934326006,0.0,0.0021756646907820478,0.006677753395312705,5
RushiChaganti,9,55,0.00341296928327645,0.0018413843074448456,0.25279254647891386,0.0,0.002120086699505747,0.019050441441774167,4
vaqMAD,29,39,0.010997345468335229,0.024215642542491086,0.26472501522009534,0.0,0.002095844345242028,0.003114292109118077,2
defaultdino,21,28,0.007963594994311717,0.009845934480287767,0.22175685079028462,0.0,0.002086919219599896,0.002170773907809374,7
ludo237,21,48,0.007963594994311717,0.0043926182692180194,0.23903578341298876,0.0,0.002083682118447565,0.011919828358103377,3
mir4zul,28,33,0.01061812665908229,0.01916831200854914,0.262375221329775,0.0,0.002072553030520144,0.0023462556139464373,7
vyrx-dev,13,49,0.004929844520288206,0.001562026221124545,0.19008209407277385,0.0,0.0020436972464325798,0.02079673558236149,2
curtisspendlove,22,35,0.008342813803564657,0.0077837940465051055,0.22653548998773104,0.0,0.002022512420626051,0.0025443772606579557,23
ironicbadger,19,34,0.00720515737580584,0.009474935635538384,0.216894433654517,0.0,0.001969720227816373,0.002654455763037636,3
pelephant2,16,40,0.006067500948047023,0.004920534645655309,0.2154622347529307,0.0,0.001947355999150963,0.008540974311899131,10
JosefAmbruz,14,24,0.005309063329541145,0.010054239391427291,0.23359103007195287,0.0,0.0019211227145950695,0.0,6
wavic,13,29,0.004929844520288206,0.006621658803262375,0.174008249840981,0.0,0.0018807137115208965,0.0014516554283323763,12
