colaborador,in_degree,out_degree,in_degree_weighted,out_degree_weighted,betweenness,closeness,pagerank
dhh,108,757,201,1964,0.11609549084418166,0.08682294501549383,0.007180778980906152
ryanrhughes,88,281,228,423,0.05608052043055706,0.07880880806745753,0.004871833564981547
kromsam,49,13,124,20,0.024681211960132742,0.0757783301018621,0.0029948296424076757
mmsbrggr,21,2,36,3,0.005898320948301535,0.08097946382053722,0.002446050109955785
nik-securemeasure,34,5,63,6,0.011733757369598438,0.07928872251414931,0.0021211401269757247
ghost,7,15,28,28,0.009389088554340877,0.058782577574985256,0.0020748133022437565
defaultdino,21,0,27,0,0.0,0.07659225785468655,0.0020107560111951063
Luquatic,46,3,79,7,0.007237920529842085,0.07738687032902962,0.0019397279656362132
ColtonIdle,19,11,49,21,0.010967825655000648,0.07300151103725643,0.001563332843383628
jardahrazdera,13,24,50,48,0.00627202891636752,0.06908651622513902,0.001455445377470451
mir4zul,26,1,28,2,7.480074472948974e-06,0.07112909405264134,0.0014387577382733642
itsnumpty,22,0,53,0,0.0,0.06882824708325612,0.0014255786054962472
nkasco,24,3,47,3,0.0047551968801203374,0.059463308778349135,0.0013373657941124185
ddevault,28,0,33,0,0.0,0.07408079357422365,0.0012562185435764186
oxidebits,8,2,11,2,0.00016819269759388967,0.07620122367546535,0.0012313988163340716
Tatuck,22,1,32,1,0.0001364411536541836,0.0743634512567943,0.0012231136859579834
shawnyeager,19,6,36,10,0.009085790573909599,0.07408444343020902,0.0012215420108790658
sailoz,11,35,37,45,0.003494136089258733,0.05817289709909982,0.0011994274871199905
goomba27,22,0,25,0,0.0,0.0687524665376908,0.0011791844284929646
diwashpandey,3,0,5,0,0.0,0.06230682297429503,0.0011761724289455161
naxels,21,35,28,48,0.012631769459766124,0.07152629902296616,0.0011586790228744353
jondkinney,30,5,58,11,0.005368395970289342,0.06986767844385944,0.001155556744197293
RodriMora,34,2,57,2,0.005361970097752063,0.06243698340812786,0.0011434710652758902
nilszeilon,15,0,40,0,0.0,0.06609421579338896,0.0011011265709334273
Dynasty8614,12,0,16,0,0.0,0.0760821639931917,0.001071264812833619
g-hartmann-kanguro,3,1,3,1,9.374121618683125e-06,0.06501265861395804,0.0009537278714040973
tahayvr,12,9,78,17,0.0018599071081627297,0.06743794785794646,0.0009273501730499388
sgruendel,12,23,25,28,0.005188542119894258,0.06737563225282917,0.0009207230073253983
Shankar-1212,23,1,31,1,0.00013510086727251184,0.06985012919187497,0.0008993081294556108
paul-fornage,12,11,25,13,0.001419943415208465,0.06153072508355419,0.0008932900022316887
eclecticc,5,4,12,4,0.0019564283590387823,0.06114886717880888,0.0008906550172244552
brasilikum,2,1,2,1,5.0253399649171736e-05,0.06537044175207851,0.0008757160493003625
c4software,16,12,50,25,0.001434256599773929,0.0625226455359387,0.0008638201479447996
Meetbuilds,3,0,3,0,0.0,0.05903885267010014,0.0008542856751493792
ElBrodino,19,9,25,12,0.004837292680390663,0.06355814960252067,0.0008469173098862412
guirossibrum,12,3,15,5,0.0015756415628963862,0.07937503725670772,0.0008432975181572323
curtisspendlove,19,3,25,7,0.0031596020381063484,0.061097627973866024,0.0008392505061162653
vlofgren,14,17,21,30,0.00413000270341705,0.07173741560803985,0.0008048205672872866
crazed-developer,15,1,26,1,2.525242419918693e-05,0.07214582227346861,0.000795669541305613
bjabot12,4,2,7,5,7.015712625561681e-06,0.06211593911067819,0.0007878114239673277
illangpasandre-prog,20,0,24,0,0.0,0.07247655860215794,0.0007737950993865966
sspaeti,14,11,24,18,0.004363032312988248,0.0666976849835453,0.0007694565083385244
nmonev,18,0,22,0,0.0,0.060770685459590586,0.0007640598211395159
wavic,13,0,28,0,0.0,0.05346013489323696,0.0007575533477017924
axelfontaine,12,8,21,10,0.0036661399860288516,0.07422018447069596,0.0007524951069076317
Swarnim114,6,1,12,1,0.0002461455220575112,0.059511842331057545,0.0007522351145669636
rikkarth,9,1,12,2,0.0008021491269713883,0.07313330915146611,0.0007508035321513692
wouterbouvy,13,1,17,1,6.618078860050946e-05,0.06688130107635021,0.0007340899165012646
TobbEEEEH,16,0,29,0,0.0,0.06611458422097759,0.0007232163263671748
MikeVeerman,6,2,21,5,0.0009628438661078929,0.06087319187177468,0.0007115247904564868
killeik,18,15,39,19,0.004908701246036031,0.07084522855034173,0.0007024092549320502
BrouZie,2,2,2,3,0.0003986701122917558,0.07036663696584802,0.0006973923604362579
Abdirrahman,5,1,6,4,0.0029152706350857225,0.058471458880522624,0.0006877284299545088
hipsterusername,8,2,9,3,0.00224992368270401,0.06593770051004857,0.0006874802374991072
dimmerz92,4,0,4,0,0.0,0.06647640536077196,0.0006753189928898002
socket72,12,0,17,0,0.0,0.059029057379796135,0.0006676931067680699
Ratko-Solaja,4,0,5,0,0.0,0.05881925290608283,0.0006661917208000874
emourad,13,7,19,8,0.002455726322611358,0.06561726892009694,0.0006421151635091279
SamrudhNelli,4,6,10,10,0.0001966002753561809,0.0618858506399692,0.0006403179039379088
pmercatoris,8,1,23,1,0.002796550559004561,0.0652298346967362,0.0006386703763396183
hyprhex,18,7,36,9,0.004401824801606726,0.07317734767564403,0.0006350778305106222
ChristerNilsson,15,1,24,1,0.005445346085272362,0.0783515035719017,0.0006328164379648678
Matt-Ord,14,0,18,0,0.0,0.06319750158284199,0.0006270094823824079
sedubois,6,4,15,5,0.0017687826393241097,0.048771845634790444,0.0006255195840455799
alcides,13,0,13,0,0.0,0.06656970195620039,0.0006178875636258782
pkrzysiekk,4,0,7,0,0.0,0.06337686476033501,0.0006151196609252318
Roman-Weisman,10,0,21,0,0.0,0.05812012703080031,0.0006149062423069828
LeAlencar,12,0,33,0,0.0,0.060707599889242556,0.0006121085961978103
