colaborador,degree,degree_weighted,degree_centrality,betweenness,closeness,eigenvector,pagerank,clustering_local,grupo_comunidade
dhh,802,1627,0.29216757741347904,0.5446551275942876,0.3622955445361359,0.0,0.09164317315859379,0.0003425477898836998,1
ryanrhughes,351,507,0.12786885245901639,0.2882424963135196,0.3183673220520867,0.0,0.030651629497560135,0.0006348950579491174,2
abenz1267,126,326,0.04590163934426229,0.04157607085783786,0.2699695983675495,0.0,0.015874636586721936,0.0032181471398750826,4
kromsam,56,118,0.02040072859744991,0.033286442373603335,0.2891185340770244,0.0,0.006264290729532001,0.0020660649715611877,3
dharmavagabond,73,90,0.026593806921675775,0.04504107931407189,0.29707899348358763,0.0,0.005611081218930326,0.0009877090215669763,5
Luquatic,49,86,0.01785063752276867,0.036257484050501894,0.27526538961004726,0.0,0.0055736906891294,0.001708557761883383,3
jardahrazdera,36,95,0.013114754098360656,0.006186263216996882,0.24566639430518805,0.0,0.004684744306233522,0.010917659766819526,3
naxels,53,71,0.019307832422586522,0.03213477947704646,0.30717115067848455,0.0,0.004373492137221011,0.0014830194332362127,2
jondkinney,35,69,0.012750455373406192,0.01597484066962246,0.241985565366767,0.0,0.004057821121667652,0.003847210114038979,7
woopstar,36,82,0.013114754098360656,0.0019397484090480897,0.24354617030274386,0.0,0.004000518301907125,0.008714301402590293,4
nik-securemeasure,38,68,0.013843351548269581,0.014254020682686752,0.2668000851607409,0.0,0.0038785045928701072,0.0038655290644620016,6
ColtonIdle,30,70,0.01092896174863388,0.013861006917616209,0.2780070173944063,0.0,0.003510760519475474,0.014040409465125752,3
hjanuschka,21,64,0.007650273224043716,0.0016885465866190036,0.24675226479024992,0.0,0.003386177331987697,0.01704402916083653,5
RodriMora,35,51,0.012750455373406192,0.019673409862422584,0.28293860948348737,0.0,0.0033366684722904803,0.0019315339920660474,17
sailoz,45,62,0.01639344262295082,0.021602511971466024,0.2924773143134546,0.0,0.00331332534265647,0.004225995252940237,3
inffy,39,56,0.014207650273224043,0.015431651540934626,0.2812651500188533,0.0,0.003175091122079553,0.0028409309640987338,3
killeik,31,54,0.011293260473588342,0.011942794052416736,0.2617153301744936,0.0,0.003146640352973093,0.003595815710153367,4
morgoth,45,48,0.01639344262295082,0.027854999613748908,0.29111788002178113,0.0,0.0031042796749808726,0.0015548379633827242,4
ddevault,28,33,0.010200364298724954,0.016655611958759378,0.26763426989808553,0.0,0.0030629642008524623,0.000899661924126162,12
nkasco,27,50,0.009836065573770491,0.012378858632928983,0.2422595112898237,0.0,0.0030324542792283787,0.004679924247075305,3
sgruendel,35,53,0.012750455373406192,0.019382064275280084,0.2717408274785324,0.0,0.0029425247223095084,0.006128489349408318,2
landsman,33,49,0.012021857923497269,0.020311006376280544,0.2870822604440616,0.0,0.00278759582401668,0.005377222935887551,4
fisika1729,26,47,0.00947176684881603,0.015026880062724226,0.27093804807682326,0.0,0.002730046253426268,0.006246664069606347,8
itsnumpty,22,53,0.008014571948998178,0.006311747940728368,0.24200837052795507,0.0,0.0027122674333416763,0.005538706136593205,6
mmsbrggr,23,39,0.00837887067395264,0.013883641367849272,0.29557444977809977,0.0,0.0027043408494401905,0.0025869426399095265,13
Tatuck,23,33,0.00837887067395264,0.014170492272314079,0.26506511350868406,0.0,0.0026615845509190697,0.000924474847892746,14
vlofgren,30,50,0.01092896174863388,0.00871489673515103,0.2700547712348439,0.0,0.002606597240543377,0.008127923829794213,4
hyprhex,25,45,0.009107468123861567,0.014632052822280743,0.2763020034078041,0.0,0.002512672219204451,0.009087974221765402,8
goomba27,22,25,0.008014571948998178,0.011315260526976751,0.22889302252180505,0.0,0.0024913205706183824,0.0,15
illangpasandre-prog,20,24,0.007285974499089253,0.013384698223314432,0.2697710704561541,0.0,0.0024297944085279943,0.00022883295194508008,9
Kn0ax,11,48,0.004007285974499089,0.0021136583699313707,0.20774620335507896,0.0,0.0023583633591563683,0.039184120859057085,6
shawnyeager,24,45,0.008743169398907104,0.006222003006541357,0.2523288611252954,0.0,0.0023471274136511017,0.011715869494959135,3
nilszeilon,15,40,0.00546448087431694,0.006862120630711776,0.2414168299024284,0.0,0.0023442148096663043,0.007999589420019474,7
vaqMAD,29,39,0.010564663023679418,0.018395554179090657,0.27423652495430706,0.0,0.0023179862229550994,0.005037734652548434,4
c4software,24,42,0.008743169398907104,0.005339102588897371,0.24241959970472304,0.0,0.002226434203382427,0.010181036787721072,2
pelephant2,19,38,0.0069216757741347905,0.006444346477423467,0.2379715336550951,0.0,0.002199682023592473,0.008112062175024796,19
defaultdino,21,27,0.007650273224043716,0.011101145367797488,0.2602564933284819,0.0,0.002180115270925787,0.00224942535965476,13
curtisspendlove,22,32,0.008014571948998178,0.00919476116993337,0.22619138726963192,0.0,0.0021250627664128,0.0035092043628472693,18
ElBrodino,26,31,0.00947176684881603,0.013607456021384289,0.28206841165115676,0.0,0.0021089189662030715,0.0028081861412197233,11
paul-fornage,23,38,0.00837887067395264,0.0060578423759906535,0.24878422976866219,0.0,0.0021035016889975207,0.00830291011157497,3
JosefAmbruz,14,25,0.005100182149362477,0.008011018346741589,0.197367675018994,0.0,0.002089650559420106,0.0,20
mir4zul,27,30,0.009836065573770491,0.012309366342520493,0.2540764638045049,0.0,0.0020862695922654675,0.0024006804489217896,13
tahayvr,19,41,0.0069216757741347905,0.004645961639667509,0.26332555574980837,0.0,0.0020810033343094114,0.0170535682752868,2
maxguzenski,24,35,0.008743169398907104,0.007405236871813093,0.2453143694757481,0.0,0.0020547929662026398,0.005725753613815439,6
ironicbadger,19,33,0.0069216757741347905,0.006298663900072699,0.22454973939070752,0.0,0.00204304619222301,0.004583073556140827,7
