colaborador,in_degree,out_degree,in_degree_weighted,out_degree_weighted,betweenness,closeness,pagerank
ryanrhughes,1,276,54,302,0.00018091785043879467,1.7738044557967927e-05,0.00014799715418045294
abenz1267,2,0,12,0,0.0,0.0003192848020434227,0.0001451990656897379
sailoz,2,0,16,0,0.0,0.00023946360153256704,0.00014519514264791226
tahayvr,1,0,20,0,0.0,9.122422915526363e-05,0.00014519121960608662
shawnyeager,2,0,6,0,0.0,0.0006385696040868454,0.00014503793375660084
landsman,2,0,6,0,0.0,0.0006385696040868454,0.00014503793375660084
ColtonIdle,2,0,14,0,0.0,0.00027367268746579087,0.00014503008767294953
c4software,1,0,17,0,0.0,0.00010642826734780757,0.00014494363714364253
Furyfree,2,0,4,0,0.0,0.0009578544061302681,0.0001448728787816381
woopstar,2,0,7,0,0.0,0.0005473453749315817,0.0001447864282523311
hyprhex,2,0,10,0,0.0,0.0003831417624521073,0.00014469997772302408
f6198874,2,0,5,0,0.0,0.0007662835249042146,0.00014462137327736838
jardahrazdera,1,0,13,0,0.0,0.00013683634373289543,0.00014461352719371707
ChristerNilsson,2,0,8,0,0.0,0.0004789272030651341,0.00014453492274806135
axelfontaine,2,0,8,0,0.0,0.0004789272030651341,0.00014453492274806135
sa-dd,2,0,3,0,0.0,0.0012771392081736908,0.00014445631830240565
mmsbrggr,2,0,3,0,0.0,0.0012771392081736908,0.00014445631830240565
wolfgangw,2,0,3,0,0.0,0.0012771392081736908,0.00014445631830240565
Rnedlose,2,0,3,0,0.0,0.0012771392081736908,0.00014445631830240565
e-minguez,2,0,3,0,0.0,0.0012771392081736908,0.00014445631830240565
SoAp9035,2,0,3,0,0.0,0.0012771392081736908,0.00014445631830240565
RaphaelKimmig,2,0,7,0,0.0,0.0005473453749315817,0.00014445239526058
al3rez,1,0,11,0,0.0,0.00015964240102171135,0.00014444847221875434
colutti,1,0,2,0,0.0,6.605892456070814e-05,0.00014437379081492428
denisu14,1,0,2,0,0.0,6.605892456070814e-05,0.00014437379081492428
bdbch,1,0,2,0,0.0,6.605892456070814e-05,0.00014437379081492428
ituri,1,0,2,0,0.0,6.605892456070814e-05,0.00014437379081492428
Shankar-1212,1,0,2,0,0.0,6.605892456070814e-05,0.00014437379081492428
satyapraneet63,1,0,2,0,0.0,6.605892456070814e-05,0.00014437379081492428
baleygr-ofnir,1,0,2,0,0.0,6.605892456070814e-05,0.00014437379081492428
heheda123123,1,0,2,0,0.0,6.605892456070814e-05,0.00014437379081492428
dhh,1,847,2,1487,0.0007057632896559071,0.0004789272030651341,0.00014437379081492428
jimd0t,1,0,2,0,0.0,6.605892456070814e-05,0.00014437379081492428
tjcwilk,1,0,2,0,0.0,6.605892456070814e-05,0.00014437379081492428
brink-lab,2,0,6,0,0.0,0.0006385696040868454,0.00014436986777309864
pelephant2,2,0,6,0,0.0,0.0006385696040868454,0.00014436986777309864
manuel1618,1,0,10,0,0.0,0.00017415534656913968,0.00014436594473127298
nkasco,2,0,5,0,0.0,0.0007662835249042146,0.00014428734028561728
Mohamedsayhii,2,0,5,0,0.0,0.0007662835249042146,0.00014428734028561728
gangaasoonu,2,0,5,0,0.0,0.0007662835249042146,0.00014428734028561728
danfascia,2,0,5,0,0.0,0.0007662835249042146,0.00014428734028561728
vlofgren,2,0,5,0,0.0,0.0007662835249042146,0.00014428734028561728
shubham-mamodiya,2,0,4,0,0.0,0.0009578544061302681,0.00014420481279813592
melonamin,2,0,4,0,0.0,0.0009578544061302681,0.00014420481279813592
crqch,2,0,4,0,0.0,0.0009578544061302681,0.00014420481279813592
felixzsh,2,0,4,0,0.0,0.0009578544061302681,0.00014420481279813592
vaqMAD,2,0,4,0,0.0,0.0009578544061302681,0.00014420481279813592
Luquatic,2,0,4,0,0.0,0.0009578544061302681,0.00014420481279813592
rmacklin,1,0,8,0,0.0,0.00021285653469561513,0.00014420088975631025
dylanbr,1,0,8,0,0.0,0.00021285653469561513,0.00014420088975631025
eifr,1,0,8,0,0.0,0.00021285653469561513,0.00014420088975631025
kromsam,1,0,8,0,0.0,0.00021285653469561513,0.00014420088975631025
ghost,1,0,8,0,0.0,0.00021285653469561513,0.00014420088975631025
npenza,1,0,8,0,0.0,0.00021285653469561513,0.00014420088975631025
