colaborador,degree,degree_weighted,degree_centrality,betweenness,closeness,eigenvector,pagerank,clustering_local,grupo_comunidade
dhh,847,1435,0.8113026819923371,0.931908922737068,0.5270065623422514,0.0,0.36664369955910103,1.8025604619996167e-05,1
ryanrhughes,276,302,0.26436781609195403,0.3756610194630033,0.33940182054616386,0.0,0.0934903890666956,0.00017017738205156381,2
tahayvr,1,20,0.0009578544061302681,0.0,0.045707280767041725,0.0,0.004487050681278368,0.0,1
c4software,1,17,0.0009578544061302681,0.0,0.052962662337662336,0.0,0.003835524179565082,0.0,1
sailoz,2,16,0.0019157088122605363,0.0,0.2534595775673707,0.0,0.0036643081797413553,0.15536162529769298,2
ColtonIdle,2,14,0.0019157088122605363,0.0,0.2534595775673707,0.0,0.003229957178599165,0.14812480342036854,2
jardahrazdera,1,13,0.0009578544061302681,0.0,0.06718146718146718,0.0,0.0029668221772807,0.0,1
abenz1267,2,12,0.0019157088122605363,0.0,0.20224719101123595,0.0,0.002841565678204343,0.17099759466766973,2
al3rez,1,11,0.0009578544061302681,0.0,0.07759774044893712,0.0,0.0025324711761385093,0.0,1
hyprhex,2,10,0.0019157088122605363,0.0,0.2534595775673707,0.0,0.0023612551763147827,0.13103706971044482,2
manuel1618,1,10,0.0009578544061302681,0.0,0.08411892675852067,0.0,0.002315295675567414,0.0,1
axelfontaine,2,8,0.0019157088122605363,0.0,0.2534595775673707,0.0,0.0019269041751725916,0.1205071132087615,2
ChristerNilsson,2,8,0.0019157088122605363,0.0,0.2534595775673707,0.0,0.0019269041751725916,0.1205071132087615,2
npenza,1,8,0.0009578544061302681,0.0,0.10111380145278451,0.0,0.0018809446744252228,0.0,1
dylanbr,1,8,0.0009578544061302681,0.0,0.10111380145278451,0.0,0.0018809446744252228,0.0,1
rmacklin,1,8,0.0009578544061302681,0.0,0.10111380145278451,0.0,0.0018809446744252228,0.0,1
eifr,1,8,0.0009578544061302681,0.0,0.10111380145278451,0.0,0.0018809446744252228,0.0,1
kromsam,1,8,0.0009578544061302681,0.0,0.10111380145278451,0.0,0.0018809446744252228,0.0,1
ghost,1,8,0.0009578544061302681,0.0,0.10111380145278451,0.0,0.0018809446744252228,0.0,1
woopstar,2,7,0.0019157088122605363,0.0,0.20224719101123595,0.0,0.0017556881753488655,0.13572088082974532,2
RaphaelKimmig,2,7,0.0019157088122605363,0.0,0.2534595775673707,0.0,0.0017097286746014964,0.1144714242553332,2
sgruendel,1,7,0.0009578544061302681,0.0,0.11247575953458307,0.0,0.0016637691738541273,0.0,1
vyrx-dev,1,7,0.0009578544061302681,0.0,0.11247575953458307,0.0,0.0016637691738541273,0.0,1
