colaborador,in_degree,out_degree,in_degree_weighted,out_degree_weighted,betweenness,closeness,pagerank
dhh,21,34,37,109,0.05288585002568054,0.07955062017014092,0.01567496449690514
ryanrhughes,11,16,41,21,0.030110426296866975,0.06529154674341754,0.01034401012023577
martinmose,2,0,3,0,0.0,0.04833982899785492,0.0041400486782301685
killeik,3,1,5,1,0.0012198253723677453,0.05587802801640739,0.003317390196049647
nkasco,1,0,2,0,0.0,0.020044698010799705,0.0029821370177785965
RushiChaganti,2,0,15,0,0.0,0.015165614268306192,0.002848140525654625
CaffeinatedTech,1,0,1,0,0.0,0.010043942247332077,0.002802650983146068
precision,3,0,3,0,0.0,0.0566541117388575,0.002693971674504957
eifr,4,0,6,0,0.0,0.054752967049634095,0.0026369498847272238
jardahrazdera,3,1,9,2,0.0011877247046738573,0.023366958540290507,0.0025169730109346135
tahayvr,5,0,8,0,0.0,0.06905770782889427,0.0024836563886281387
abenz1267,4,6,5,18,0.0187788906009245,0.06291730868002054,0.002481787247377268
landsman,3,1,5,1,9.63020030816641e-05,0.010169491525423728,0.002305828651685394
robertobarreda,3,0,9,0,0.0,0.005649717514124294,0.002292335473515249
jheuing,2,0,2,0,0.0,0.011299435028248588,0.002275280898876405
Cammisuli,2,0,5,0,0.0,0.004519774011299435,0.002275280898876405
fhammerschmidt,2,0,2,0,0.0,0.011299435028248588,0.002275280898876405
jroes,1,0,1,0,0.0,0.005649717514124294,0.0021678370786516856
MulSori,3,0,4,0,0.0,0.012711864406779662,0.002155898876404495
jzetterman,3,0,4,0,0.0,0.04419693301049233,0.002143280427661599
sgruendel,4,3,6,3,0.002937211093990755,0.0502237875119231,0.002066804831833187
ryanyogan,3,1,9,2,0.003498972778633796,0.047080979284369114,0.0020592807547866383
joelgaff,2,0,3,0,0.0,0.05371155053358442,0.0019776795396734964
shawnyeager,2,0,2,0,0.0,0.05408715578207104,0.0019776795396734964
nilszeilon,1,0,9,0,0.0,0.017815167635778797,0.0019428267994291166
vyrx-dev,3,0,4,0,0.0,0.04583253983368247,0.0017048186618648237
guilhermetk,2,0,2,0,0.0,0.062374703845452885,0.001681225449624459
iamobservable,1,0,2,0,0.0,0.04113502190059037,0.0016800781804705875
LeonardoTrapani,1,0,2,0,0.0,0.04113502190059037,0.0016800781804705875
