colaborador,degree,degree_weighted,degree_centrality,betweenness,closeness,eigenvector,pagerank,clustering_local,grupo_comunidade
dhh,53,115,0.2994350282485876,0.34794636325838185,0.22086453816844043,0.0,0.13065083327044807,0.0012841034826965787,1
ryanrhughes,25,32,0.14124293785310735,0.22257733064743823,0.1938199008416926,0.0,0.045619817585998756,0.003523780233820184,2
abenz1267,10,23,0.05649717514124294,0.12703062431490783,0.210011243909549,0.0,0.022626580220343858,0.011872672169977132,3
woopstar,8,17,0.04519774011299435,0.054372416660552175,0.15712238285144567,0.0,0.018407099985627114,0.020891958291659973,3
RushiChaganti,2,15,0.011299435028248588,0.00783256291730868,0.049493095698428746,0.0,0.013324342657383978,0.0,3
ludo237,6,9,0.03389830508474576,0.025996190720766997,0.12834020461139106,0.0,0.012568577205636618,0.009620612436170906,5
jardahrazdera,4,11,0.022598870056497175,0.015600924499229585,0.12700531392449693,0.0,0.012516648095674961,0.04180188146032001,7
sgruendel,7,9,0.03954802259887005,0.02893376312097424,0.14365475003560746,0.0,0.011527191395639198,0.021978535249900486,3
copilot-pull-request-reviewer[bot],3,4,0.01694915254237288,0.0001926040061633282,0.012711864406779662,0.0,0.010780384183755086,0.0,10
robertobarreda,3,9,0.01694915254237288,0.00783256291730868,0.13943650288937431,0.0,0.010450216965783354,0.0,4
Kn0ax,2,9,0.011299435028248588,0.0,0.09300824403828775,0.0,0.010110447631030322,0.0,6
mghextreme,5,6,0.02824858757062147,0.06041345659989728,0.17337642245676765,0.0,0.010068525425085373,0.0,4
ryanyogan,3,9,0.01694915254237288,0.015536723163841809,0.13719835677558018,0.0,0.00987902894314687,0.0,5
tahayvr,5,8,0.02824858757062147,0.01862655834150441,0.17302545803883895,0.0,0.009744017808315027,0.030950196770912174,5
nilszeilon,1,9,0.005649717514124294,0.0,0.05755863721965417,0.0,0.009533818978129783,0.0,1
landsman,4,6,0.022598870056497175,0.023240883410374936,0.11014764983400314,0.0,0.00852217687642538,0.019089712877195048,9
rmacklin,4,7,0.022598870056497175,0.030752439650744735,0.1540082455336693,0.0,0.00836093768665528,0.0733183030217125,7
jheuing,2,2,0.011299435028248588,6.420133538777607e-05,0.011299435028248588,0.0,0.008199180855922486,0.0,12
Cammisuli,2,5,0.011299435028248588,6.420133538777607e-05,0.004519774011299435,0.0,0.008199180855922486,0.0,11
fhammerschmidt,2,2,0.011299435028248588,6.420133538777607e-05,0.011299435028248588,0.0,0.008199180855922486,0.0,14
jamesmcm,2,3,0.011299435028248588,6.420133538777607e-05,0.007532956685499058,0.0,0.008199180855922486,0.0,13
killeik,4,6,0.022598870056497175,0.037386220966729444,0.154565237380084,0.0,0.008173338074247765,0.0,6
MulSori,3,4,0.01694915254237288,0.023240883410374936,0.11789596727060199,0.0,0.008037087007908734,0.0,4
andresatierf,2,7,0.011299435028248588,0.0,0.13588962841206112,0.0,0.007942960549171454,0.0,4
eifr,4,6,0.022598870056497175,0.015600924499229585,0.1628087167070218,0.0,0.007894859122866435,0.019089712877195048,3
douglascamata,2,7,0.011299435028248588,0.0,0.1387574290116663,0.0,0.0074761130535985695,0.0,5
arcbjorn,3,5,0.01694915254237288,0.00783256291730868,0.12853319740028038,0.0,0.007428227099359704,0.038179425754390095,8
rafaelbernard,4,5,0.022598870056497175,0.02231623132046861,0.17060793666903482,0.0,0.007338140758686166,0.019089712877195048,8
precision,3,3,0.01694915254237288,0.015600924499229585,0.15290621873199722,0.0,0.00672744151108861,0.0,2
npenza,1,6,0.005649717514124294,0.0,0.0763847866587904,0.0,0.006636778195157682,0.0,1
roberto-aguilar,2,3,0.011299435028248588,0.00783256291730868,0.0938250013953748,0.0,0.0061468322627185054,0.0,6
jzetterman,3,4,0.01694915254237288,0.011576112211705425,0.15683408490125955,0.0,0.0057765317774810835,0.038179425754390095,8
iccodes,1,5,0.005649717514124294,0.0,0.08573177158594428,0.0,0.005671097934166982,0.0,1
golgor,1,1,0.005649717514124294,0.0,0.005649717514124294,0.0,0.0056179775280898875,0.0,25
timmo001,1,1,0.005649717514124294,0.0,0.005649717514124294,0.0,0.0056179775280898875,0.0,19
rajofearth,1,1,0.005649717514124294,0.0,0.005649717514124294,0.0,0.0056179775280898875,0.0,19
pawlobanano,1,2,0.005649717514124294,0.0,0.002824858757062147,0.0,0.0056179775280898875,0.0,18
devzeth,1,1,0.005649717514124294,0.0,0.005649717514124294,0.0,0.0056179775280898875,0.0,17
cyppe,1,1,0.005649717514124294,0.0,0.005649717514124294,0.0,0.0056179775280898875,0.0,22
mattlanham,1,2,0.005649717514124294,0.0,0.002824858757062147,0.0,0.0056179775280898875,0.0,26
hjanuschka,1,2,0.005649717514124294,0.0,0.002824858757062147,0.0,0.0056179775280898875,0.0,23
jankeesvw,1,2,0.005649717514124294,0.0,0.002824858757062147,0.0,0.0056179775280898875,0.0,23
tom-jagus,1,2,0.005649717514124294,0.0,0.002824858757062147,0.0,0.0056179775280898875,0.0,26
lucasrcezimbra,1,1,0.005649717514124294,0.0,0.005649717514124294,0.0,0.0056179775280898875,0.0,25
ElBrodino,1,1,0.005649717514124294,0.0,0.005649717514124294,0.0,0.0056179775280898875,0.0,17
Mayank-8127,1,2,0.005649717514124294,0.0,0.002824858757062147,0.0,0.0056179775280898875,0.0,18
nixsh5,1,1,0.005649717514124294,0.0,0.005649717514124294,0.0,0.0056179775280898875,0.0,15
