colaborador,degree,degree_weighted,degree_centrality,betweenness,closeness,eigenvector,pagerank,clustering_local,grupo_comunidade
dhh,956,2882,0.3404558404558405,0.47879007932325174,0.32431498748165416,0.0,0.1274229514621612,0.00019995438629029567,1
ryanrhughes,424,825,0.150997150997151,0.3069196747804725,0.29955202045719287,0.0,0.04056173358207865,0.0003809863750565251,2
abenz1267,127,348,0.04522792022792023,0.053864418909170854,0.2612124032728348,0.0,0.013849409648729995,0.002032252968027714,4
kromsam,56,118,0.019943019943019943,0.04149959972030326,0.27271416234060203,0.0,0.0053468141139689195,0.0012746887424240686,3
Luquatic,50,91,0.017806267806267807,0.021049296377726536,0.23067494152285944,0.0,0.005013328200758949,0.0015876057570033103,3
dharmavagabond,73,92,0.025997150997150997,0.04444348467239989,0.258561910197492,0.0,0.004735447533471398,0.0008482251681733009,2
jardahrazdera,36,119,0.012820512820512822,0.010559507535314877,0.2357355635879865,0.0,0.004692456934270191,0.00881996733370218,3
woopstar,36,101,0.012820512820512822,0.0037111662294365684,0.22709205964383355,0.0,0.00391526775431582,0.007025915695833533,2
naxels,53,71,0.018874643874643875,0.04406046870839012,0.28859871068101034,0.0,0.003745404255096672,0.0010588703288696875,14
jondkinney,35,73,0.012464387464387465,0.01792600016174384,0.23435216315351204,0.0,0.003699124188168932,0.0026423405173202547,10
ColtonIdle,30,83,0.010683760683760684,0.022745266667412025,0.26750636339968475,0.0,0.0033890585993979296,0.01007092229485495,4
nik-securemeasure,38,69,0.013532763532763533,0.015708365325941782,0.2550861518470442,0.0,0.0033296683604904765,0.002544284192676914,13
hjanuschka,21,70,0.007478632478632479,0.0027449939347188013,0.22618975794434412,0.0,0.003069745792903369,0.011523087580700824,2
RodriMora,35,52,0.012464387464387465,0.023416754440315258,0.2589372541104855,0.0,0.003019871759850914,0.0012710977049787881,17
sgruendel,35,69,0.012464387464387465,0.024808851778860913,0.2610594835324077,0.0,0.0030060159530115754,0.0053264642964327615,2
killeik,31,59,0.011039886039886041,0.011807715880635799,0.2482693371739489,0.0,0.0028633512377212794,0.002414408948616541,6
nkasco,28,57,0.009971509971509971,0.015799935027109777,0.25574447015137136,0.0,0.0028398851476814503,0.0041514597398528055,3
sailoz,45,65,0.016025641025641028,0.022376305712863597,0.2511355966513654,0.0,0.002830686078272056,0.0032198821868139288,3
ddevault,29,34,0.010327635327635329,0.02448602490597917,0.27586335155414443,0.0,0.0028124895889694154,0.0008060086099171436,21
morgoth,45,52,0.016025641025641028,0.031959532327354934,0.2508530514460573,0.0,0.002718712366511417,0.001584636938430974,2
inffy,39,56,0.01388888888888889,0.020359220321311718,0.2663347249376515,0.0,0.0026110518260364117,0.001953805508965187,3
landsman,34,56,0.01210826210826211,0.03139925049454544,0.2711388981276497,0.0,0.002590389873473082,0.0037959316979780723,2
